N,imposter_win_rate,win_rate_ci,count,mean_convergence_time,convergence_ci,imposter_conv_time,imposter_conv_ci,crew_conv_time,crew_conv_ci
4,0.5333333333333333,0.2859715583889236,15,2.533333333333333,0.4115833741274836,3.0,0.0,2.0,0.7551333913872247
6,0.26666666666666666,0.2534866936887115,15,3.6,0.8052306801257213,5.0,0.0,3.090909090909091,0.9238069682614651
8,0.2,0.22928734153996538,15,5.4,1.0631616656440315,7.0,0.0,5.0,1.2415230698317425
10,0.06666666666666667,0.14298577919446182,15,6.2,1.3435012162279405,9.0,0.0,6.0,1.3775521013952032
12,0.0,0.0,15,7.133333333333334,1.288006320606126,,,6.6923076923076925,1.3143593818845773
